design,mode,cells,dff,macros,levels,blocks,cycles,sim_ms,cycles_per_sec,check,ncu_dram_pct,ncu_l1_pct,ncu_threads_per_inst,ncu_branch_uniform_pct,ncu_warps_active_pct
mac_array_4,macro,616,180,4,4,1,2001,14.756,135605,PASS,-,-,-,-,-
mac_array_4,shred,20622,372,0,110,2,2001,30.42715,65763,PASS,-,-,-,-,-
carry_adders_4x32,macro,1036,289,32,5,1,2001,27.462384,72863,PASS,-,-,-,-,-
carry_adders_4x32,shred,1629,289,0,68,1,2001,22.339863,89570,PASS,-,-,-,-,-
srl_lines_8,macro,82,10,12,9,1,2001,24.82992,80588,PASS,-,-,-,-,-
srl_lines_8,shred,1921,378,0,17,1,2001,15.013407,133280,PASS,-,-,-,-,-
mixed_4,macro,1812,517,40,5,1,2001,38.237345,52331,PASS,-,-,-,-,-
mixed_4,shred,23446,837,0,110,4,2001,28.967028,69078,PASS,-,-,-,-,-
mac_array_16,macro,2983,720,16,10,1,20001,125.279797,159650,PASS,0.01,4.46,25.90,98.98,33.33
mac_array_64,macro,12370,2880,64,14,7,20001,120.095151,166542,PASS,0.12,11.89,28.61,96.01,33.33
mac_array_16,shred,83165,1488,0,110,6,20001,257.106368,77792,PASS,0.05,12.38,28.83,97.23,33.33
carry_adders_16x64,macro,8554,2113,256,11,1,20001,339.879012,58847,PASS,0.02,3.87,20.91,99.36,33.33
carry_adders_16x64,shred,13006,2113,0,138,2,20001,311.054912,64300,PASS,0.01,5.80,25.46,98.70,33.33
srl_lines_32,macro,330,34,48,13,1,20001,328.961003,60800,PASS,0.02,3.34,23.12,99.27,33.34
srl_lines_32,shred,6889,1314,0,21,1,20001,113.47152,176264,PASS,0.01,4.38,25.53,98.98,33.34
mixed_16,macro,7633,1825,160,11,1,20001,482.719607,41433,PASS,0.02,3.58,22.14,99.24,33.33
mixed_16,shred,93943,3105,0,110,9,20001,243.34547,82191,PASS,0.09,17.67,29.80,96.68,33.33
mac_array_64,shred,333808,5952,0,110,20,20001,273.275068,73189,PASS,0.17,34.64,30.76,93.91,33.34
mixed_64,macro,30729,7057,640,17,1,20001,655.734797,30501,PASS,0.04,4.32,21.70,98.31,33.33
mixed_64,shred,375973,12177,0,110,36,20001,287.450415,69580,PASS,0.27,50.02,31.10,92.30,33.34
srl_lines_32,macro-kfix,330,34,48,13,1,20001,215.518404,92804,PASS,0.02,4.02,25.15,99.37,33.33
carry_adders_16x64,macro-kfix,8554,2113,256,11,1,20001,238.895574,83722,PASS,0.02,4.36,24.53,99.14,33.33
mixed_16,macro-kfix,7633,1825,160,11,1,20001,325.250891,61494,PASS,0.03,4.35,25.16,98.95,33.33
mixed_64,macro-kfix,30729,7057,640,17,1,20001,380.919282,52507,PASS,0.06,5.45,25.73,97.49,33.34
srl_lines_32,macro-nomerge,330,34,48,13,1,20001,182.347346,109686,PASS,0.05,5.39,26.94,99.11,33.33
mixed_16,macro-nomerge,7633,1825,160,11,2,20001,297.612057,67204,PASS,0.34,17.27,29.29,97.55,33.33
mixed_64,macro-nomerge,30729,7057,640,17,2,20001,508.212457,39355,PASS,0.67,31.01,29.91,96.75,33.33
mac_array_64,macro-nomerge,12370,2880,64,14,47,20001,191.248132,104581,PASS,0.56,31.85,30.89,96.99,33.34
mixed_64,macro-nm400,30729,7057,640,17,114,20001,406.433844,49210,PASS,0.30,15.39,28.25,96.70,33.34
mac_array_16,shred,83165,1488,0,110,6,20001,254.335333,78640,-,-,-,-,-,-
mac_array_16,upstream,83165,1488,0,110,,20001,252.18501,79310,-,-,-,-,-,-
mac_array_64,shred,333808,5952,0,110,20,20001,277.059208,72190,-,-,-,-,-,-
